target,analysis,prior,scenario,fixed_truth_u,reference_mean_u,reference_KL,Q95_low,Q95_high,prior_Q95,historical_mass_PIT_low,historical_mass_PIT_high,historical_logL_PIT_low,historical_logL_PIT_high,status,scope
0,A0_CN,uniform_u,central,0.0,0.30623033581316955,0.2409539628611831,0.7823262778900009,0.7824314653818781,0.95,0.0,0.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
1,A0_CN,uniform_u,central,0.995,0.44051137051226075,0.02574080405758275,0.9163637267925685,0.9165278159307153,0.95,0.0,1.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
2,A0_CN,uniform_u_squared,central,0.5,0.739703744584956,0.0559638202351021,0.9811635276573825,0.9812864810118038,0.9746794344808963,0.0,1.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
3,A0_CN,log_uniform_u,central,0.1,0.20319465739861234,0.03374500531447411,0.7986192095104452,0.7987262551204988,0.7079457843841379,0.0,1.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
4,A_G,uniform_u_squared,central,0.995,0.7779395325601993,0.13007045860329702,0.9851164837065072,0.9852206770353633,0.9746794344808963,0.0,1.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
5,B_G_full_variable,log_uniform_u,central,0.5,0.1648913235740199,0.0038522802553659086,0.7602558720912793,0.7603577153927106,0.7079457843841379,0.0,1.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
6,B_CN_full_variable,uniform_u,central,0.995,0.5171728112407641,0.0019039252654836775,0.9532877649528949,0.9533883277175779,0.95,0.9926368303931573,0.9966368303931573,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
7,B_G_diagonal_variable,uniform_u,central,0.5,0.5719676734948291,0.03161078133125439,0.964509346238225,0.964609393671329,0.95,0.3888417801049609,0.3928417801049609,0.3898993418387937,0.391785941682156,OPERATIONALLY_RESOLVED_ON_TESTED_NOMINAL14_DOMAIN,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
8,B_G_full_fixed,uniform_u,central,0.5,0.530222782422743,0.005742797955689133,0.9560499983194459,0.9561504127450805,0.95,0.4524760578434433,0.4564760578434433,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
9,B_G_diagonal_fixed,uniform_u,central,0.5,0.48208899804008937,0.0019324264916512068,0.9445469579542726,0.9446470206387203,0.95,0.0,1.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
10,A0_CN,uniform_u,strong_red,0.995,0.5280561753961939,0.004932583027589532,0.9556466671778043,0.9557472541077776,0.95,0.0,1.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
11,B_G_full_variable,uniform_u,strong_white,0.995,0.5019647518205151,2.4195060474095642e-05,0.9503798231260691,0.9504800399872432,0.95,0.9929557557992555,0.9969557557992555,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
12,A0_CN,uniform_u,gamma3,0.5,0.4363648094503093,0.02453555353948189,0.9291890026228375,0.9293393937642187,0.95,0.0,1.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
13,B_CN_full_variable,uniform_u,monopole_rho1_omitted,0.5,0.4491267922425985,0.015631733409428916,0.9339108913854605,0.9340117621474128,0.95,0.0,1.0,0.0,1.0,PRODUCTS_PARTIALLY_UNRESOLVED,FIXED_TRUTH_ENGINEERING_NOT_PAIRED_NOT_SBC
