load_selected_arrays_seconds=2.280862916028127
         16419 function calls in 0.886 seconds

   Ordered by: cumulative time
   List reduced from 152 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.001    0.000    0.690    0.115 /Volumes/MacSSD/Development/github/TGdoWayne/src/inference/iid_diagnostics.py:108(replicated_cdf)
       30    0.298    0.010    0.614    0.020 /Volumes/MacSSD/Development/github/TGdoWayne/src/inference/iid_diagnostics.py:72(iid_cdf)
       59    0.058    0.001    0.222    0.004 /Volumes/MacSSD/Development/github/TGdoWayne/src/inference/iid_diagnostics.py:37(_weights)
       57    0.000    0.000    0.178    0.003 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/numpy/_core/fromnumeric.py:3833(std)
       57    0.000    0.000    0.178    0.003 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/numpy/_core/_methods.py:217(_std)
       57    0.059    0.001    0.177    0.003 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/numpy/_core/_methods.py:148(_var)
       65    0.052    0.001    0.155    0.002 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/scipy/special/_logsumexp.py:15(logsumexp)
      673    0.132    0.000    0.132    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        6    0.000    0.000    0.102    0.017 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/numpy/lib/_function_base_impl.py:3815(_ureduce)
        6    0.097    0.016    0.097    0.016 {method 'partition' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.094    0.094 /Volumes/MacSSD/Development/github/TGdoWayne/src/inference/iid_diagnostics.py:137(replicated_weights)
       65    0.058    0.001    0.093    0.001 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/scipy/special/_logsumexp.py:201(_logsumexp)
        5    0.010    0.002    0.093    0.019 /Volumes/MacSSD/Development/github/TGdoWayne/src/inference/iid_diagnostics.py:45(weight_summary)
        5    0.000    0.000    0.092    0.018 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/numpy/lib/_function_base_impl.py:4255(quantile)
        5    0.000    0.000    0.092    0.018 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/numpy/lib/_function_base_impl.py:4500(_quantile_unchecked)
        5    0.000    0.000    0.092    0.018 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/numpy/lib/_function_base_impl.py:4639(_quantile_ureduce_func)
        5    0.000    0.000    0.089    0.018 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/numpy/lib/_function_base_impl.py:4714(_quantile)
        5    0.000    0.000    0.060    0.012 /Volumes/MacSSD/Development/github/TGdoWayne/.venv/lib/python3.14/site-packages/numpy/_core/fromnumeric.py:939(sort)


