method_a,method_b,parameter,nominal_holm_pvalue,nominal_reject,rejection_robust_to_sensitivity
A_CN,B_CN,u,1.0,False,False
A_CN,B_CN,log10_Agw,7.776436296800247e-05,True,False
A_CN,B_CN,gamma_gw,0.0007025478407740593,True,False
A_CN,B_CN,log10_Ar,4.06659353870964e-05,True,False
A_CN,B_CN,log10_EFAC,1.6788147854218257e-17,True,True
A_G,B_G,u,1.0,False,False
A_G,B_G,log10_Agw,1.0,False,False
A_G,B_G,gamma_gw,1.0,False,False
A_G,B_G,log10_Ar,1.0,False,False
A_G,B_G,log10_EFAC,1.0,False,False
A0_CN,A_CN,u,1.0,False,False
A0_CN,A_CN,log10_Agw,0.0012777361667914988,True,False
A0_CN,A_CN,gamma_gw,0.007297873497009277,True,False
A0_CN,A_CN,log10_Ar,3.693639882840216e-08,True,False
A0_CN,A_CN,log10_EFAC,9.887517242575866e-31,True,True
