p,q,u,KL_min,KL_max,mean_squared_in_p_min,mean_squared_in_p_max,covariance_in_q_min,covariance_in_q_max
B,C_beta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,C_beta,0.05,3.742692008733403e-12,0.0010427490799511552,6.232662634274824e-12,0.0015291364550242444,1.5828557896696316e-06,0.03297400202702761
B,C_beta,0.25,2.7388700567633013e-10,0.10073803340043543,4.584105888701671e-10,0.13381314583755793,1.3368632050925559e-05,0.33744203947769563
B,C_beta,0.5,9.319868830941859e-10,0.5170469888074773,1.5659046455141464e-09,0.5979209219458175,2.4415095793914555e-05,0.8089231567860372
B,C_beta,0.75,1.4434664918926315e-09,1.1690786119636964,2.4295762448699555e-09,1.1923964880165183,3.0242905546565063e-05,1.2779104120862559
B,C_beta,0.9,1.6266661573043886e-09,1.6145148278351336,2.739242581853112e-09,1.541804427280551,3.206373890542459e-05,1.5411197088622375
B,C_beta,0.99,1.6971300620315094e-09,1.886833412787258,2.858296739501234e-09,1.738523979883225,3.2738726537807974e-05,1.6897890078956246
B,C_beta,1.0,1.2641195423510741e-09,1.876412960930185,2.094192228013179e-09,1.5244132691453511,2.946240548031667e-05,2.1317658206714962
B,C_full,0.0,2.2177314142054411e-16,1.3866043206427803e-07,2.2201379878256786e-16,1.799259797595818e-07,2.1049108443393988e-08,0.00044137300301496534
B,C_full,0.05,3.428202483762866e-12,0.000951865294277789,5.717667249370099e-12,0.001400537812459105,1.5091277093552214e-06,0.0313712173558391
B,C_full,0.25,2.7388846550203945e-10,0.10078225065366904,4.5840075118007077e-10,0.13385297279122083,1.3369586307351934e-05,0.33757703940034733
B,C_full,0.5,9.319962679067895e-10,0.517015188147647,1.5659237249898555e-09,0.5978841826813388,2.441508307139145e-05,0.8088909884289581
B,C_full,0.75,1.4434724691655169e-09,1.1689808619084634,2.429591128347365e-09,1.192332726812863,3.024280866385212e-05,1.2778233562839436
B,C_full,0.9,1.6266646156921291e-09,1.6142672186759517,2.739397556744657e-09,1.5417296428248055,3.205880885061196e-05,1.540639631713671
B,C_full,0.99,1.6972799570698283e-09,1.887041448898945,2.8585357956270363e-09,1.7385862279253053,3.2740581343645845e-05,1.6896708727646539
B,C_full,1.0,1.5295532356823649e-09,3.409087315695403,2.4264305387723165e-09,2.291685787273503,3.557078960746954e-05,2.854373808031715
C_beta,C_full,0.0,2.2177314142054411e-16,1.3866043206427803e-07,2.2201379878256786e-16,1.799259797595818e-07,2.1049108443393988e-08,0.00044137300301496534
C_beta,C_full,0.05,7.271878405819949e-15,2.382599898098006e-06,1.159619481317911e-14,3.3575411877734894e-06,7.677971700605128e-08,0.0016787882361206728
C_beta,C_full,0.25,1.720160850320727e-16,2.3163442053950565e-07,2.1748496525858886e-16,3.605449106504902e-07,1.5908941238674834e-08,0.0004532507684270175
C_beta,C_full,0.5,1.2397860177836407e-16,2.102585986456641e-07,1.6077393072746468e-16,3.255197388727117e-07,1.3204792492788148e-08,0.0004358676593832563
C_beta,C_full,0.75,4.2707744173520735e-17,1.1359539236272058e-07,4.726469622496719e-17,1.474624209890306e-07,8.735077802605497e-09,0.00039933115994812154
C_beta,C_full,0.9,2.5330392670564416e-16,1.0456448914406698e-06,2.576516085621256e-16,1.398211627214654e-06,2.2313952755969052e-08,0.0011774093610647139
C_beta,C_full,0.99,1.1817683479751108e-15,5.041166723181395e-06,1.5699133599693325e-15,7.63236962339219e-06,3.9840264806804053e-08,0.0022165407590401076
C_beta,C_full,1.0,2.7723074854028297e-10,1.3841042883407602,4.226272686934687e-10,1.0091051461945588,1.6237680452558666e-05,1.5754178725522683
