u,eta_index,quantity,actual_Frobenius,first_order_Frobenius,remainder_Frobenius,relative_remainder
0.001,0,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,0,C,5.127512828026144e-09,5.128310042199637e-09,8.466889997788371e-13,0.00016512664681226616
0.001,0,mean,7.816706506778556e-10,7.817992677661315e-10,1.2896127992753608e-13,0.00016498160678759318
0.001,0,covariance,2.8621066945577082e-11,2.862646163539694e-11,5.402001251312726e-15,0.00018874213395274968
0.001,1,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,1,C,5.127512495518258e-09,5.128310042199637e-09,8.470608360195623e-13,0.00016519917538181377
0.001,1,mean,7.816693797533183e-10,7.817992677661315e-10,1.3032887820046952e-13,0.00016673146163356063
0.001,1,covariance,4.5781342463915383e-10,4.5789971990249157e-10,8.641203422238335e-14,0.00018874945462879966
0.001,2,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,2,C,5.127512838303909e-09,5.128310042199637e-09,8.466764119487854e-13,0.00016512419152300964
0.001,2,mean,7.816704945918103e-10,7.817992677661315e-10,1.29111301509695e-13,0.00016517356405670286
0.001,2,covariance,5.700163973085426e-11,5.7010746272426315e-11,9.128462278894585e-15,0.0001601438541416812
0.001,3,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,3,C,5.1275113617479535e-09,5.128310042199637e-09,8.482313088147734e-13,0.00016542748498671564
0.001,3,mean,7.816692245565071e-10,7.817992677661315e-10,1.3047090232861567e-13,0.00016691318812332733
0.001,3,covariance,4.85541438505126e-10,4.856321787239859e-10,9.088723782832189e-14,0.0001871873966270386
0.001,4,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,4,C,3.517150499801072e-08,3.5176681928894564e-08,5.459870071708455e-12,0.00015523561110101095
0.001,4,mean,4.25510182268414e-09,4.255747780480383e-09,6.477241197239043e-13,0.00015222294241488133
0.001,4,covariance,1.4792429294551013e-10,1.4794980991412622e-10,2.5554866158648505e-14,0.0001727563853765519
0.001,5,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,5,C,3.517150502958816e-08,3.5176681928894564e-08,5.460061570945033e-12,0.00015524105568845393
0.001,5,mean,4.255101035724352e-09,4.255747780480383e-09,6.485827184639649e-13,0.00015242475161428352
0.001,5,covariance,2.360897003860962e-09,2.3613045268077034e-09,4.081257868761528e-13,0.0001728689503221497
0.001,6,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,6,C,3.5171504895544535e-08,3.5176681928894564e-08,5.459988179185968e-12,0.00015523896959773335
0.001,6,mean,4.2551020696560565e-09,4.255747780480383e-09,6.474674710978862e-13,0.0001521626180756274
0.001,6,covariance,3.4782975512841356e-10,3.478809942994159e-10,5.135337547902106e-14,0.00014763939749795748
0.001,7,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,7,C,3.51715045337481e-08,3.5176681928894564e-08,5.460660241170129e-12,0.0001552580793332416
0.001,7,mean,4.255101515713566e-09,4.255747780480383e-09,6.480476203954409e-13,0.00015229897994261258
0.001,7,covariance,2.5556026992519435e-09,2.556036065784803e-09,4.340718736661427e-13,0.0001698510781011465
0.001,8,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,8,C,5.127512795084149e-05,5.1283100421996385e-05,8.467230704827075e-09,0.00016513329255745166
0.001,8,mean,7.816706127969118e-06,7.817992677661317e-06,1.2900093161784477e-09,0.00016503234163590193
0.001,8,covariance,1.212432653943995e-06,1.2126306999014086e-06,1.987501622147528e-10,0.0001639267645656247
0.001,9,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
