quantity,u,relative_remainder_min,relative_remainder_max,absolute_remainder_min,absolute_remainder_max
Gamma,0.001,0.0002059271340143047,0.0002059271340143047,1.0364304847082253e-08,1.0364304847082253e-08
Gamma,0.002,0.0008237021231173992,0.0008237021231173992,1.6573163741212766e-07,1.6573163741212766e-07
Gamma,0.004,0.0032946511705017494,0.0032946511705017494,2.645456959751771e-06,2.645456959751771e-06
C,0.001,0.00015523561110101095,0.00016542748498671564,8.466764119487854e-13,5.459881693853728e-08
C,0.002,0.0006209919998604324,0.000660594798872749,1.354127552310036e-11,8.732635027413001e-07
C,0.004,0.002484731062423,0.002642771249799658,2.163077351166049e-10,1.3951865555986506e-05
mean,0.001,0.0001521626180756274,0.00016691318812332733,1.2896127992753608e-13,6.477103711633726e-09
mean,0.002,0.0006089218338941826,0.0006601989644231514,2.0622231722854306e-12,1.0359433961865523e-07
mean,0.004,0.002436415790994714,0.0026411909506904316,3.29508944389891e-11,1.6549839549971588e-06
covariance,0.001,0.00014763939749795748,0.00018874945462879966,5.402001251312726e-15,1.102102753300066e-08
covariance,0.002,0.0005908133732217774,0.000755367541903825,8.640119227085062e-14,1.762678352867279e-07
covariance,0.004,0.002363893518057896,0.00302117509802774,1.379556106932067e-12,2.815889459350579e-06
