T_years,u,window,p,q,nuisance_vertices,KL_p_to_q_minimum,KL_p_to_q_maximum,KL_p_to_q_argmax_eta,mean_shift_metric_p_squared_minimum,mean_shift_metric_p_squared_maximum,mean_shift_metric_p_squared_argmax_eta,covariance_difference_metric_q_minimum,covariance_difference_metric_q_maximum,covariance_difference_metric_q_argmax_eta
4.5,0.0,0,B,C_beta,16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
4.5,0.0,0,B,C_full,16,2.2177314142054411e-16,1.3866043206427803e-07,8,2.2201379878256786e-16,1.799259797595818e-07,8,2.1049108443393988e-08,0.00044137300301496534,8
4.5,0.0,0,C_beta,C_full,16,2.2177314142054411e-16,1.3866043206427803e-07,8,2.2201379878256786e-16,1.799259797595818e-07,8,2.1049108443393988e-08,0.00044137300301496534,8
4.5,0.2,0,B,C_beta,16,1.661480206675847e-10,0.056376898117176055,8,2.7779118566312256e-10,0.0770200279191176,8,1.0440624398702983e-05,0.2494108368619745,8
4.5,0.2,0,B,C_full,16,1.6621661478859136e-10,0.05642311243725312,8,2.7789546178124647e-10,0.07706426750348257,8,1.0443776143182093e-05,0.2495911895071336,8
4.5,0.2,0,C_beta,C_full,16,4.3180153317553764e-16,5.248148667852858e-07,8,6.945593523549257e-16,8.913303154727076e-07,8,1.838715394674944e-08,0.0005626470632492948,8
4.5,0.5,0,B,C_beta,16,9.319868830941859e-10,0.5170469888074773,8,1.5659046455141464e-09,0.5979209219458175,8,2.4415095793914555e-05,0.8089231567860372,8
4.5,0.5,0,B,C_full,16,9.319962679067895e-10,0.517015188147647,8,1.5659237249898555e-09,0.5978841826813388,8,2.441508307139145e-05,0.8088909884289581,8
4.5,0.5,0,C_beta,C_full,16,1.2397860177836407e-16,2.102585986456641e-07,8,1.6077393072746468e-16,3.255197388727117e-07,8,1.3204792492788148e-08,0.0004358676593832563,8
4.5,0.8,0,B,C_beta,16,1.514418924654824e-09,1.3152026695035905,8,2.549517037442707e-09,1.311210140965036,8,3.096054622484548e-05,1.3675229431290326,8
4.5,0.8,0,B,C_full,16,1.5144086358610592e-09,1.3151415469799503,8,2.5495317969833e-09,1.3111715054563755,8,3.09594048311761e-05,1.3674459367030305,8
4.5,0.8,0,C_beta,C_full,16,1.1413937978921726e-16,3.134564917393088e-07,8,1.3963574694825009e-16,4.56367200640008e-07,8,1.3314879817035595e-08,0.0005839825791930684,8
4.5,0.995,0,B,C_beta,16,1.700266478391298e-09,1.9019264323277714,8,2.863663719224998e-09,1.7490952188819575,8,3.2766379486890795e-05,1.6977938322011186,8
4.5,0.995,0,B,C_full,16,1.7001512747038368e-09,1.9026265938374656,8,2.8636502252489576e-09,1.749565378195011,8,3.2759758830520585e-05,1.697887890838264,8
4.5,0.995,0,C_beta,C_full,16,9.475097493425212e-16,3.844390381514706e-06,8,1.00789059141075e-15,5.40817410060717e-06,8,4.2121939724826894e-08,0.002135968276995683,8
4.5,0.0,1,B,C_beta,16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
4.5,0.0,1,B,C_full,16,1.5394361554217496e-16,5.898914539505545e-08,8,1.0585544015315338e-16,5.617780043041064e-08,8,2.0101332805924952e-08,0.00035156847406078663,8
4.5,0.0,1,C_beta,C_full,16,1.5394361554217496e-16,5.898914539505545e-08,8,1.0585544015315338e-16,5.617780043041064e-08,8,2.0101332805924952e-08,0.00035156847406078663,8
4.5,0.2,1,B,C_beta,16,8.221829433251705e-11,0.022455546731671733,8,1.1526548121724639e-10,0.024715042489794458,8,9.916712144722681e-06,0.1969337571784003,8
4.5,0.2,1,B,C_full,16,8.22534814669444e-11,0.022477097602191874,8,1.153071173245694e-10,0.024730172830003963,8,9.919609642530705e-06,0.1970756291025659,8
4.5,0.2,1,C_beta,C_full,16,2.4920532111880604e-16,1.9150267686263948e-07,8,3.3492767148216924e-16,2.801097101822283e-07,8,1.8082199608234835e-08,0.00045363827903408877,8
4.5,0.5,1,B,C_beta,16,4.58915685612617e-10,0.20695657919639154,8,6.506694707652557e-10,0.20183642703554397,8,2.3115142551935908e-05,0.6219072596824062,8
