new,previous,datum,stratum,parameter,probability,point_difference,lower,upper,primary_classification
A_CN,A0_CN,25,representative,u,0.05,0.0038296318567054843,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,u,0.5,0.016067732696882442,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,u,0.9,0.004401966711891303,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,u,0.95,0.0017972485070103517,-1.0,1.0,inconclusive
A_CN,A0_CN,25,representative,log10_Agw,0.05,-0.007731761225071659,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_Agw,0.5,-0.056452750482795744,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_Agw,0.9,-0.06918576354360151,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_Agw,0.95,-0.06682558041602488,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,gamma_gw,0.05,-0.004550385860802482,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,gamma_gw,0.5,-0.04921083050942915,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,gamma_gw,0.9,-0.04581726796699259,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,gamma_gw,0.95,-0.028967942642116218,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_Ar,0.05,-0.013550197602684555,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_Ar,0.5,-0.12932621662450883,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_Ar,0.9,-0.10363598012383424,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_Ar,0.95,-0.08673922086085861,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_EFAC,0.05,0.043860977585118754,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_EFAC,0.5,0.009152335451206084,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_EFAC,0.9,-0.01754272931204648,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,25,representative,log10_EFAC,0.95,-0.0248701548868826,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,26,representative,u,0.05,0.03524790475104888,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,26,representative,u,0.5,0.1301761966572827,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,26,representative,u,0.9,0.04140907123890136,-1.0,1.0,descriptive_secondary
