new,previous,datum,stratum,parameter,point_width_difference,lower,upper
A_CN,A0_CN,25,representative,u,-0.0020323833496951327,-2.0,2.0
A_CN,A0_CN,25,representative,log10_Agw,-0.059093819190953245,-2.0,2.0
A_CN,A0_CN,25,representative,gamma_gw,-0.024417556781313743,-2.0,2.0
A_CN,A0_CN,25,representative,log10_Ar,-0.07318902325817411,-2.0,2.0
A_CN,A0_CN,25,representative,log10_EFAC,-0.06873113247200136,-2.0,2.0
A_CN,A0_CN,26,representative,u,-0.013594853858974743,-2.0,2.0
A_CN,A0_CN,26,representative,log10_Agw,-0.13427749404948497,-2.0,2.0
A_CN,A0_CN,26,representative,gamma_gw,-0.01106483107496059,-2.0,2.0
A_CN,A0_CN,26,representative,log10_Ar,-0.0779905387150186,-2.0,2.0
A_CN,A0_CN,26,representative,log10_EFAC,-0.09323171739927882,-2.0,2.0
A_CN,A0_CN,30,stress,u,-0.06547754050343824,-2.0,2.0
A_CN,A0_CN,30,stress,log10_Agw,0.0036490712919805546,-2.0,2.0
A_CN,A0_CN,30,stress,gamma_gw,0.0006555740675468491,-2.0,2.0
A_CN,A0_CN,30,stress,log10_Ar,0.014487225097743361,-2.0,2.0
A_CN,A0_CN,30,stress,log10_EFAC,-0.0816648128260401,-2.0,2.0
A_CN,A0_CN,44,representative,u,-0.0036617604432053197,-2.0,2.0
A_CN,A0_CN,44,representative,log10_Agw,0.10880654006723467,-2.0,2.0
A_CN,A0_CN,44,representative,gamma_gw,-0.016158518755395868,-2.0,2.0
A_CN,A0_CN,44,representative,log10_Ar,0.029718251267665252,-2.0,2.0
A_CN,A0_CN,44,representative,log10_EFAC,-0.04896483278208741,-2.0,2.0
A_CN,A0_CN,48,representative,u,-0.0010248357212326864,-2.0,2.0
A_CN,A0_CN,48,representative,log10_Agw,-0.02973143727483074,-2.0,2.0
A_CN,A0_CN,48,representative,gamma_gw,-0.036404695818025634,-2.0,2.0
A_CN,A0_CN,48,representative,log10_Ar,-0.06009990414508737,-2.0,2.0
A_CN,A0_CN,48,representative,log10_EFAC,-0.07114852156737639,-2.0,2.0
A_CN,A0_CN,102,representative,u,0.004695900149520815,-2.0,2.0
A_CN,A0_CN,102,representative,log10_Agw,-0.05662582322182319,-2.0,2.0
A_CN,A0_CN,102,representative,gamma_gw,0.010816482171904562,-2.0,2.0
A_CN,A0_CN,102,representative,log10_Ar,-0.425967073348515,-2.0,2.0
A_CN,A0_CN,102,representative,log10_EFAC,-0.11149192766309707,-2.0,2.0
A_CN,A0_CN,138,stress,u,0.000622399809670271,-2.0,2.0
A_CN,A0_CN,138,stress,log10_Agw,-0.010106638849671001,-2.0,2.0
A_CN,A0_CN,138,stress,gamma_gw,-0.04556943793332824,-2.0,2.0
A_CN,A0_CN,138,stress,log10_Ar,-0.0007450862024945826,-2.0,2.0
A_CN,A0_CN,138,stress,log10_EFAC,-0.10516117300846939,-2.0,2.0
A_CN,A0_CN,142,representative,u,-0.00023313728213769647,-2.0,2.0
A_CN,A0_CN,142,representative,log10_Agw,-0.04354806628955915,-2.0,2.0
A_CN,A0_CN,142,representative,gamma_gw,-0.007161661824533483,-2.0,2.0
A_CN,A0_CN,142,representative,log10_Ar,-0.059841864264122746,-2.0,2.0
A_CN,A0_CN,142,representative,log10_EFAC,-0.07715425625776695,-2.0,2.0
A_CN,A0_CN,157,representative,u,-0.03665862276669474,-2.0,2.0
A_CN,A0_CN,157,representative,log10_Agw,-0.11535293172051658,-2.0,2.0
A_CN,A0_CN,157,representative,gamma_gw,-0.32081552223826204,-2.0,2.0
A_CN,A0_CN,157,representative,log10_Ar,0.04466880175575394,-2.0,2.0
A_CN,A0_CN,157,representative,log10_EFAC,-0.07924924506103076,-2.0,2.0
A_CN,A0_CN,184,stress,u,0.0013358062769381895,-2.0,2.0
A_CN,A0_CN,184,stress,log10_Agw,-0.0440710194491194,-2.0,2.0
A_CN,A0_CN,184,stress,gamma_gw,-0.026674599433904933,-2.0,2.0
A_CN,A0_CN,184,stress,log10_Ar,0.001577731016678019,-2.0,2.0
A_CN,A0_CN,184,stress,log10_EFAC,-0.0694654713813379,-2.0,2.0
A_CN,A0_CN,189,representative,u,-0.003955337573208206,-2.0,2.0
A_CN,A0_CN,189,representative,log10_Agw,0.21543971998624317,-2.0,2.0
A_CN,A0_CN,189,representative,gamma_gw,-0.020808522929000817,-2.0,2.0
A_CN,A0_CN,189,representative,log10_Ar,0.038441899717720274,-2.0,2.0
A_CN,A0_CN,189,representative,log10_EFAC,-0.0312990405276215,-2.0,2.0
A_CN,A0_CN,191,representative,u,-0.0001950899209312018,-2.0,2.0
A_CN,A0_CN,191,representative,log10_Agw,0.021186708318175818,-2.0,2.0
A_CN,A0_CN,191,representative,gamma_gw,-0.012038924126544281,-2.0,2.0
A_CN,A0_CN,191,representative,log10_Ar,0.032186443986342295,-2.0,2.0
A_CN,A0_CN,191,representative,log10_EFAC,-0.06415316258620418,-2.0,2.0
A_CN,A0_CN,197,representative,u,0.0012817200644212878,-2.0,2.0
A_CN,A0_CN,197,representative,log10_Agw,0.010334838407024094,-2.0,2.0
A_CN,A0_CN,197,representative,gamma_gw,0.03224271702623316,-2.0,2.0
A_CN,A0_CN,197,representative,log10_Ar,0.01174496446855594,-2.0,2.0
A_CN,A0_CN,197,representative,log10_EFAC,-0.0416590286450163,-2.0,2.0
A_CN,A0_CN,249,representative,u,0.0005911079681274467,-2.0,2.0
A_CN,A0_CN,249,representative,log10_Agw,0.017427867891488924,-2.0,2.0
A_CN,A0_CN,249,representative,gamma_gw,0.0015547933195644292,-2.0,2.0
A_CN,A0_CN,249,representative,log10_Ar,0.0027343118559286506,-2.0,2.0
A_CN,A0_CN,249,representative,log10_EFAC,-0.0646233344143676,-2.0,2.0
A_CN,A0_CN,272,representative,u,-0.0017677149508132928,-2.0,2.0
A_CN,A0_CN,272,representative,log10_Agw,0.0806482756845055,-2.0,2.0
A_CN,A0_CN,272,representative,gamma_gw,0.012650311267706993,-2.0,2.0
A_CN,A0_CN,272,representative,log10_Ar,0.0017078111739983193,-2.0,2.0
A_CN,A0_CN,272,representative,log10_EFAC,-0.05554854846124213,-2.0,2.0
A_CN,A0_CN,285,representative,u,-0.001296578344434085,-2.0,2.0
A_CN,A0_CN,285,representative,log10_Agw,-0.0549111227809953,-2.0,2.0
A_CN,A0_CN,285,representative,gamma_gw,0.0031209862185900272,-2.0,2.0
A_CN,A0_CN,285,representative,log10_Ar,-0.049911158593670124,-2.0,2.0
A_CN,A0_CN,285,representative,log10_EFAC,-0.039654154798793306,-2.0,2.0
A_CN,A0_CN,313,representative,u,-0.0005273533752517823,-2.0,2.0
A_CN,A0_CN,313,representative,log10_Agw,0.047900228400662215,-2.0,2.0
A_CN,A0_CN,313,representative,gamma_gw,0.006675784975146315,-2.0,2.0
A_CN,A0_CN,313,representative,log10_Ar,-0.004855780142703603,-2.0,2.0
A_CN,A0_CN,313,representative,log10_EFAC,-0.06229057531574106,-2.0,2.0
A_CN,A0_CN,327,representative,u,-0.012853654418756855,-2.0,2.0
A_CN,A0_CN,327,representative,log10_Agw,-0.02855553812554712,-2.0,2.0
A_CN,A0_CN,327,representative,gamma_gw,-0.11559478868273876,-2.0,2.0
A_CN,A0_CN,327,representative,log10_Ar,0.06355095245377118,-2.0,2.0
A_CN,A0_CN,327,representative,log10_EFAC,-0.11900564670993713,-2.0,2.0
A_CN,A0_CN,333,stress,u,0.008687869072581789,-2.0,2.0
A_CN,A0_CN,333,stress,log10_Agw,0.004957722668983089,-2.0,2.0
A_CN,A0_CN,333,stress,gamma_gw,0.0031350622329163746,-2.0,2.0
A_CN,A0_CN,333,stress,log10_Ar,0.010362361766308004,-2.0,2.0
A_CN,A0_CN,333,stress,log10_EFAC,-0.0611534367005353,-2.0,2.0
A_CN,A0_CN,346,representative,u,0.001240689358559588,-2.0,2.0
A_CN,A0_CN,346,representative,log10_Agw,-0.049367886698078456,-2.0,2.0
A_CN,A0_CN,346,representative,gamma_gw,-0.011940366119703394,-2.0,2.0
A_CN,A0_CN,346,representative,log10_Ar,-0.04867681613444774,-2.0,2.0
A_CN,A0_CN,346,representative,log10_EFAC,-0.08030768796434218,-2.0,2.0
A_CN,A0_CN,355,representative,u,0.037829831791135526,-2.0,2.0
A_CN,A0_CN,355,representative,log10_Agw,-0.019980287375780448,-2.0,2.0
A_CN,A0_CN,355,representative,gamma_gw,-0.04993337595613212,-2.0,2.0
A_CN,A0_CN,355,representative,log10_Ar,0.02681171308015451,-2.0,2.0
A_CN,A0_CN,355,representative,log10_EFAC,-0.06759371594537048,-2.0,2.0
A_CN,A0_CN,359,stress,u,-0.018943657799203373,-2.0,2.0
A_CN,A0_CN,359,stress,log10_Agw,0.08420847446160418,-2.0,2.0
A_CN,A0_CN,359,stress,gamma_gw,0.09940606931998142,-2.0,2.0
A_CN,A0_CN,359,stress,log10_Ar,-0.021756703394783417,-2.0,2.0
A_CN,A0_CN,359,stress,log10_EFAC,-0.11361633306380137,-2.0,2.0
A_CN,A0_CN,380,representative,u,-0.0022419099021279143,-2.0,2.0
A_CN,A0_CN,380,representative,log10_Agw,0.04606895363879138,-2.0,2.0
A_CN,A0_CN,380,representative,gamma_gw,-0.013684808927832748,-2.0,2.0
A_CN,A0_CN,380,representative,log10_Ar,0.012755570352684154,-2.0,2.0
A_CN,A0_CN,380,representative,log10_EFAC,-0.05599646653406776,-2.0,2.0
A_CN,A0_CN,409,representative,u,0.0004651265811260741,-2.0,2.0
A_CN,A0_CN,409,representative,log10_Agw,0.04980232377040289,-2.0,2.0
A_CN,A0_CN,409,representative,gamma_gw,0.015519210705674524,-2.0,2.0
A_CN,A0_CN,409,representative,log10_Ar,0.0032485768504961765,-2.0,2.0
A_CN,A0_CN,409,representative,log10_EFAC,-0.06025217474060052,-2.0,2.0
A_CN,A0_CN,424,stress,u,-0.013762484658399243,-2.0,2.0
A_CN,A0_CN,424,stress,log10_Agw,-0.06185046617083789,-2.0,2.0
A_CN,A0_CN,424,stress,gamma_gw,-0.18610683980342435,-2.0,2.0
A_CN,A0_CN,424,stress,log10_Ar,-0.005396964089563694,-2.0,2.0
A_CN,A0_CN,424,stress,log10_EFAC,-0.13076947549959006,-2.0,2.0
A_CN,A0_CN,446,representative,u,0.0017197450784414148,-2.0,2.0
A_CN,A0_CN,446,representative,log10_Agw,-0.026550464276714147,-2.0,2.0
A_CN,A0_CN,446,representative,gamma_gw,-0.0007860322959598598,-2.0,2.0
A_CN,A0_CN,446,representative,log10_Ar,-0.023839656885202287,-2.0,2.0
A_CN,A0_CN,446,representative,log10_EFAC,-0.07256865272649948,-2.0,2.0
A_CN,A0_CN,453,stress,u,-0.0060688046022382425,-2.0,2.0
A_CN,A0_CN,453,stress,log10_Agw,-0.046506297617420755,-2.0,2.0
A_CN,A0_CN,453,stress,gamma_gw,-0.13596430223039735,-2.0,2.0
A_CN,A0_CN,453,stress,log10_Ar,-0.05680599412190512,-2.0,2.0
A_CN,A0_CN,453,stress,log10_EFAC,-0.0762044046360448,-2.0,2.0
A_CN,A0_CN,458,stress,u,-0.0017963497295686581,-2.0,2.0
A_CN,A0_CN,458,stress,log10_Agw,-0.1051992009962035,-2.0,2.0
A_CN,A0_CN,458,stress,gamma_gw,-0.011510591749615773,-2.0,2.0
A_CN,A0_CN,458,stress,log10_Ar,0.015547349930141063,-2.0,2.0
A_CN,A0_CN,458,stress,log10_EFAC,-0.07542274459309839,-2.0,2.0
A_CN,A0_CN,461,representative,u,-0.03120259815221682,-2.0,2.0
A_CN,A0_CN,461,representative,log10_Agw,-0.06844011220545498,-2.0,2.0
A_CN,A0_CN,461,representative,gamma_gw,-0.16227220772452888,-2.0,2.0
A_CN,A0_CN,461,representative,log10_Ar,0.029843877966044707,-2.0,2.0
A_CN,A0_CN,461,representative,log10_EFAC,-0.16106443773944107,-2.0,2.0
A_CN,A0_CN,463,representative,u,-0.001240350682611524,-2.0,2.0
A_CN,A0_CN,463,representative,log10_Agw,0.025873961402248735,-2.0,2.0
A_CN,A0_CN,463,representative,gamma_gw,-0.0010052520951042698,-2.0,2.0
A_CN,A0_CN,463,representative,log10_Ar,-0.04483026274413204,-2.0,2.0
A_CN,A0_CN,463,representative,log10_EFAC,-0.057314844471527016,-2.0,2.0
A_CN,A0_CN,479,representative,u,-0.028837530867000027,-2.0,2.0
A_CN,A0_CN,479,representative,log10_Agw,0.10189983502461497,-2.0,2.0
A_CN,A0_CN,479,representative,gamma_gw,0.15438600089974464,-2.0,2.0
A_CN,A0_CN,479,representative,log10_Ar,-0.05516504101112929,-2.0,2.0
A_CN,A0_CN,479,representative,log10_EFAC,-0.09186820016634267,-2.0,2.0
A_CN,A0_CN,489,representative,u,-0.0210423655490235,-1.888455512384478,0.15154448761552197
A_CN,A0_CN,489,representative,log10_Agw,-0.09898705588014,-1.2300766774632446,0.7999233225367556
A_CN,A0_CN,489,representative,gamma_gw,-0.2651038403746838,-1.6998498286994121,0.3801501713005879
A_CN,A0_CN,489,representative,log10_Ar,-0.053877714813725164,-1.87082838609998,0.16117161390002
A_CN,A0_CN,489,representative,log10_EFAC,-0.14742388353338273,-1.3309713840138098,0.6960286159861903
B_CN,A_CN,25,representative,u,0.00046192854456017507,-2.0,2.0
B_CN,A_CN,25,representative,log10_Agw,0.3757170777605793,-2.0,2.0
B_CN,A_CN,25,representative,gamma_gw,0.03874997321778406,-2.0,2.0
B_CN,A_CN,25,representative,log10_Ar,0.2746816800895657,-2.0,2.0
B_CN,A_CN,25,representative,log10_EFAC,0.3876519373670352,-2.0,2.0
B_CN,A_CN,26,representative,u,0.015905958670957565,-2.0,2.0
B_CN,A_CN,26,representative,log10_Agw,0.21260513254463076,-2.0,2.0
B_CN,A_CN,26,representative,gamma_gw,0.017407522358970473,-2.0,2.0
B_CN,A_CN,26,representative,log10_Ar,0.11059847320968275,-2.0,2.0
B_CN,A_CN,26,representative,log10_EFAC,0.10676682895460277,-2.0,2.0
B_CN,A_CN,30,stress,u,0.12465221627570222,-2.0,2.0
B_CN,A_CN,30,stress,log10_Agw,0.08446814250239187,-2.0,2.0
B_CN,A_CN,30,stress,gamma_gw,0.2698997061268883,-2.0,2.0
B_CN,A_CN,30,stress,log10_Ar,-0.003822090591896199,-2.0,2.0
B_CN,A_CN,30,stress,log10_EFAC,0.48416947013341344,-2.0,2.0
B_CN,A_CN,44,representative,u,0.0005689905567046738,-2.0,2.0
B_CN,A_CN,44,representative,log10_Agw,-0.17223272561693914,-2.0,2.0
